epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19406,2.96107,4.78027,2.63644,0.99689,0.6,0.63118,0.39387,1.61721,1.89786,1.79713,0,0,0
2,1.61091,2.31753,2.94463,2.39969,0.99684,0.6,0.63118,0.39387,1.61311,1.89469,1.79123,1.41485e-05,1.41485e-05,1.41485e-05
3,1.97442,2.82701,5.17613,3.04963,0.99256,0.6,0.63118,0.39387,1.62513,1.91038,1.79798,2.80141e-05,2.80141e-05,2.80141e-05
4,2.40187,2.2291,2.92803,2.34444,1,0.5995,0.63118,0.39387,1.62066,1.9087,1.79221,4.15968e-05,4.15968e-05,4.15968e-05
5,2.73576,2.75971,3.73258,2.60009,1,0.59975,0.62917,0.39233,1.62288,1.91294,1.79157,5.48965e-05,5.48965e-05,5.48965e-05
6,3.0691,3.06776,4.46505,2.73781,1,0.59977,0.62917,0.38033,1.6359,1.93106,1.79721,6.79132e-05,6.79132e-05,6.79132e-05
7,3.40053,3.01638,5.24778,3.00724,0.99247,0.6,0.62917,0.38033,1.6359,1.94357,1.79892,8.0647e-05,8.0647e-05,8.0647e-05
8,3.80335,2.53866,3.99282,2.77561,0.98548,0.6,0.61257,0.39006,1.67123,2.14965,1.8289,9.30979e-05,9.30979e-05,9.30979e-05
9,4.42744,2.71306,3.57836,2.44467,0.98548,0.6,0.61257,0.39006,1.67123,2.14965,1.8289,0.000105266,0.000105266,0.000105266
10,5.03133,2.6492,3.62655,2.41813,0.93368,0.4,0.42421,0.23134,2.18342,2.33241,2.05463,0.000117151,0.000117151,0.000117151
11,5.59918,2.77394,3.34382,2.16346,0.93368,0.4,0.42421,0.23134,2.18342,2.33241,2.05463,0.000128753,0.000128753,0.000128753
12,6.26171,2.67266,3.48467,2.36634,1,0.36679,0.46607,0.17504,2.57767,2.3624,2.4613,0.000140072,0.000140072,0.000140072
13,6.88629,2.18055,3.48502,1.98585,1,0.36679,0.46607,0.17504,2.57767,2.3624,2.4613,0.000151108,0.000151108,0.000151108
14,7.47665,2.79399,3.06206,2.06206,0.46591,0.4,0.35602,0.16487,2.49111,2.25143,2.29441,0.000161861,0.000161861,0.000161861
15,8.12116,2.7307,2.49117,2.2215,0.46591,0.4,0.35602,0.16487,2.49111,2.25143,2.29441,0.000172332,0.000172332,0.000172332
16,8.74885,2.1588,2.69201,1.89872,0.61872,0.4,0.37948,0.15449,2.53162,2.86525,2.6599,0.000182519,0.000182519,0.000182519
17,9.31297,2.58799,2.56852,2.24058,0.61872,0.4,0.37948,0.15449,2.53162,2.86525,2.6599,0.000192423,0.000192423,0.000192423
18,9.88579,1.90851,1.75128,1.81755,0.62595,0.4,0.39043,0.16408,2.50034,3.37628,2.93392,0.000202045,0.000202045,0.000202045
19,10.4371,2.16619,2.28638,1.85735,0.62595,0.4,0.39043,0.16408,2.50034,3.37628,2.93392,0.000211383,0.000211383,0.000211383
20,11.167,2.29909,2.72782,2.09959,0.40683,0.6,0.41829,0.16942,2.40399,3.2053,2.77784,0.000220439,0.000220439,0.000220439
21,11.7964,1.97796,1.84574,1.97985,0.40683,0.6,0.41829,0.16942,2.40399,3.2053,2.77784,0.000229212,0.000229212,0.000229212
22,12.3796,1.80568,1.46842,1.72549,0.35936,0.6,0.4054,0.16043,2.40924,3.20695,2.86016,0.000237701,0.000237701,0.000237701
23,12.9578,1.84771,1.58872,1.66704,0.35936,0.6,0.4054,0.16043,2.40924,3.20695,2.86016,0.000245908,0.000245908,0.000245908
24,13.5221,2.04378,1.96099,1.86926,0.35936,0.6,0.4054,0.16043,2.40924,3.20695,2.86016,0.000253832,0.000253832,0.000253832
25,14.1868,1.61106,1.38743,1.54905,0.57313,0.4,0.41613,0.18274,2.44763,3.05469,2.77467,0.000261473,0.000261473,0.000261473
26,14.7323,1.63431,1.48231,1.61628,0.57313,0.4,0.41613,0.18274,2.44763,3.05469,2.77467,0.000268831,0.000268831,0.000268831
27,15.3899,1.52688,1.28044,1.74534,0.57313,0.4,0.41613,0.18274,2.44763,3.05469,2.77467,0.000275906,0.000275906,0.000275906
28,15.9826,1.46711,1.2069,1.55348,0.8092,0.4,0.4971,0.23091,2.48514,2.79752,2.9348,0.000282698,0.000282698,0.000282698
29,16.5901,1.47478,1.04089,1.40469,0.8092,0.4,0.4971,0.23091,2.48514,2.79752,2.9348,0.000289207,0.000289207,0.000289207
30,17.1672,1.33507,1.14894,1.45342,0.8092,0.4,0.4971,0.23091,2.48514,2.79752,2.9348,0.000295433,0.000295433,0.000295433
31,17.83,1.39642,1.14464,1.58915,0.58634,0.57269,0.51711,0.25419,2.31926,2.92286,2.57808,0.000301376,0.000301376,0.000301376
32,18.4125,1.40298,1.26483,1.4534,0.58634,0.57269,0.51711,0.25419,2.31926,2.92286,2.57808,0.000307036,0.000307036,0.000307036
33,19.0591,1.87346,1.65393,1.47662,0.58634,0.57269,0.51711,0.25419,2.31926,2.92286,2.57808,0.000312414,0.000312414,0.000312414
34,19.7458,1.40066,1.43425,1.48049,0.93221,0.4,0.48281,0.24523,2.26661,2.95605,2.45583,0.000317508,0.000317508,0.000317508
35,20.3084,1.40745,1.03984,1.40459,0.93221,0.4,0.48281,0.24523,2.26661,2.95605,2.45583,0.00032232,0.00032232,0.00032232
36,20.8833,1.47412,1.13476,1.41654,0.93221,0.4,0.48281,0.24523,2.26661,2.95605,2.45583,0.000326848,0.000326848,0.000326848
37,21.4378,1.35319,1.39635,1.23223,0.93221,0.4,0.48281,0.24523,2.26661,2.95605,2.45583,0.000331094,0.000331094,0.000331094
38,22.1042,1.76825,1.71916,1.40709,0.93944,0.4,0.48055,0.2426,2.20592,2.59829,2.35132,0.000335056,0.000335056,0.000335056
39,22.6552,1.41283,1.02651,1.28007,0.93944,0.4,0.48055,0.2426,2.20592,2.59829,2.35132,0.000338736,0.000338736,0.000338736
40,23.2936,1.40145,1.17185,1.45359,0.93944,0.4,0.48055,0.2426,2.20592,2.59829,2.35132,0.000342133,0.000342133,0.000342133
41,23.9412,1.12612,0.95213,1.30787,0.93944,0.4,0.48055,0.2426,2.20592,2.59829,2.35132,0.000345246,0.000345246,0.000345246
42,24.5514,1.35281,1.13081,1.27031,0.93738,0.4,0.46315,0.22715,2.17243,2.54337,2.3186,0.000348077,0.000348077,0.000348077
43,25.128,1.28659,1.00957,1.23502,0.93738,0.4,0.46315,0.22715,2.17243,2.54337,2.3186,0.000350625,0.000350625,0.000350625
44,25.8555,1.23439,0.95332,1.19385,0.93738,0.4,0.46315,0.22715,2.17243,2.54337,2.3186,0.00035289,0.00035289,0.00035289
45,26.567,1.32365,1.34543,1.39983,0.93738,0.4,0.46315,0.22715,2.17243,2.54337,2.3186,0.000354872,0.000354872,0.000354872
46,27.3157,1.15006,0.9719,1.27865,1,0.37624,0.44681,0.20829,2.12672,2.46108,2.24231,0.000356571,0.000356571,0.000356571
